"Location","Year","Age","Sex","Cause.of.death.or.injury","Measure","Value","Lower.bound","Upper.bound"
"Colombia",2015,"0-6 days","Male","Self-harm","Deaths per 100,000",0,0,0
"Colombia",2015,"7-27 days","Male","Self-harm","Deaths per 100,000",0,0,0
"Colombia",2015,"28-364 days","Male","Self-harm","Deaths per 100,000",0,0,0
"Colombia",2015,"1-4 years","Male","Self-harm","Deaths per 100,000",0,0,0
"Colombia",2015,"5-9 years","Male","Self-harm","Deaths per 100,000",0,0,0
"Colombia",2015,"10-14 years","Male","Self-harm","Deaths per 100,000",2.4683417,1.669544508,3.519167512
"Colombia",2015,"15-19 years","Male","Self-harm","Deaths per 100,000",10.45460595,7.542715321,14.44064983
"Colombia",2015,"20-24 years","Male","Self-harm","Deaths per 100,000",17.26478076,12.40944257,23.29318959
"Colombia",2015,"25-29 years","Male","Self-harm","Deaths per 100,000",15.75114584,11.32468242,21.27135231
"Colombia",2015,"30-34 years","Male","Self-harm","Deaths per 100,000",13.95852596,10.24097364,18.41457997
"Colombia",2015,"35-39 years","Male","Self-harm","Deaths per 100,000",12.19247497,9.118649905,15.98150411
"Colombia",2015,"40-44 years","Male","Self-harm","Deaths per 100,000",11.40642635,8.455845091,14.83615633
"Colombia",2015,"45-49 years","Male","Self-harm","Deaths per 100,000",11.80027248,8.769974374,15.20672086
"Colombia",2015,"50-54 years","Male","Self-harm","Deaths per 100,000",11.72115153,8.817638445,15.0717693
"Colombia",2015,"55-59 years","Male","Self-harm","Deaths per 100,000",12.38447585,9.346564184,15.87245206
"Colombia",2015,"60-64 years","Male","Self-harm","Deaths per 100,000",12.98529824,9.756405052,17.35098485
"Colombia",2015,"65-69 years","Male","Self-harm","Deaths per 100,000",16.06028673,11.65818976,21.06978209
"Colombia",2015,"70-74 years","Male","Self-harm","Deaths per 100,000",20.2099749,15.36803175,25.86206829
"Colombia",2015,"75-79 years","Male","Self-harm","Deaths per 100,000",19.65470437,14.59004998,25.75704712
"Colombia",2015,"80+ years","Male","Self-harm","Deaths per 100,000",30.16625124,22.10398379,40.24611553
"Colombia",2015,"0-6 days","Male","Self-harm","YLLs per 100,000",0,0,0
"Colombia",2015,"7-27 days","Male","Self-harm","YLLs per 100,000",0,0,0
"Colombia",2015,"28-364 days","Male","Self-harm","YLLs per 100,000",0,0,0
"Colombia",2015,"1-4 years","Male","Self-harm","YLLs per 100,000",0,0,0
"Colombia",2015,"5-9 years","Male","Self-harm","YLLs per 100,000",0,0,0
"Colombia",2015,"10-14 years","Male","Self-harm","YLLs per 100,000",182.499398943,123.439496383,260.193296708
"Colombia",2015,"15-19 years","Male","Self-harm","YLLs per 100,000",722.466828302,521.240290254,997.922942042
"Colombia",2015,"20-24 years","Male","Self-harm","YLLs per 100,000",1110.792160034,798.406451941,1498.651690781
"Colombia",2015,"25-29 years","Male","Self-harm","YLLs per 100,000",937.118194997,673.764711246,1265.544164926
"Colombia",2015,"30-34 years","Male","Self-harm","YLLs per 100,000",761.856744066,558.952707797,1005.068421364
"Colombia",2015,"35-39 years","Male","Self-harm","YLLs per 100,000",605.335412547,452.725263312,793.45414415
"Colombia",2015,"40-44 years","Male","Self-harm","YLLs per 100,000",510.179204866,378.207513131,663.581956178
"Colombia",2015,"45-49 years","Male","Self-harm","YLLs per 100,000",470.267375931,349.503196776,606.021983549
"Colombia",2015,"50-54 years","Male","Self-harm","YLLs per 100,000",411.378964782,309.473951347,528.976041824
"Colombia",2015,"55-59 years","Male","Self-harm","YLLs per 100,000",376.682146452,284.28202495,482.771312818
"Colombia",2015,"60-64 years","Male","Self-harm","YLLs per 100,000",335.641182028,252.181454562,448.484485969
"Colombia",2015,"65-69 years","Male","Self-harm","YLLs per 100,000",344.215054065,249.866303056,451.58197172
"Colombia",2015,"70-74 years","Male","Self-harm","YLLs per 100,000",347.861391492,264.520128258,445.147324353
"Colombia",2015,"75-79 years","Male","Self-harm","YLLs per 100,000",261.018169113,193.758599926,342.058413662
"Colombia",2015,"80+ years","Male","Self-harm","YLLs per 100,000",201.57431718,147.701322567,268.929125741
